0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
100,100,100,100,100,100,100,100,98,100,100,100,98,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,99,98,99,98,76,0,0,0,0,0,0,0,0,0,0,0,21
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,99,99,100,100,99,100,98,99,98,100,99,98,98,48,32
100,100,100,100,100,100,100,100,100,100,100,100,100,99,99,99,98,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,99,99,98,98,100,98,62,0,0,0,0,0,0,0,0,24
100,100,100,100,100,100,100,100,100,100,100,100,100,99,99,98,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,99,98,99,90,0,0,0,0,0,0,0,0,0,0,0,0,21
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,99,99,98,98,100,98,42,0,0,0,0,0,0,0,0,24
99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,99,99,98,100,100,98,99,98,98,98,18,0,0,0,0,28
100,100,100,100,100,99,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
100,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,100,100,99,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
100,100,100,100,100,100,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,99,99,98,100,100,98,100,98,98,98,98,6,0,0,0,29
100,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,100,100,100,100,100,100,100,99,100,100,100,100,99,98,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
100,100,100,99,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
100,100,100,100,100,100,100,100,98,100,99,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
100,100,100,100,100,100,98,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
100,100,100,100,100,100,98,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,100,100,100,100,100,100,100,100,100,100,100,100,99,99,98,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
100,100,100,100,100,100,100,99,98,100,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,98,99,98,99,24,0,0,0,0,0,0,0,0,0,0,0,0,20
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,99,99,98,100,100,98,99,98,98,66,0,0,0,0,0,27
100,100,100,100,100,100,100,100,100,100,100,100,100,99,99,99,98,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
100,100,100,100,100,100,100,100,98,100,100,100,99,99,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
100,100,100,100,100,100,98,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,99,98,99,76,0,0,0,0,0,0,0,0,0,0,0,0,20
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,99,99,99,100,100,99,100,98,98,98,100,98,68,0,0,30
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,99,99,100,100,99,100,98,98,98,100,99,98,98,6,32
100,100,100,100,100,100,100,100,98,100,99,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
100,100,100,100,100,100,100,100,98,100,99,99,98,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
100,100,100,100,100,100,99,98,98,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,99,99,98,98,100,98,68,0,0,0,0,0,0,0,0,23
100,100,99,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
